PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
VLADIMIR NOVAKOVIĆ PREDUZETNIK AGENCIJA ZA KONSALTING I INŽENJERING 2A NOVAKOVIĆ INŽENJERING KRAGUJEVAC,2A NOVAKOVIĆ INŽENJERING,KOSTE VOJINOVIĆA 47 34000 KRAGUJEVAC,63032603,107847662,325-9500600022290-13,Preduzetnik,10.12.2012.,Inženjerske delatnosti i tehničko savetovanje,+381 34 343 644,, office@novakovicing.com,USLUGE:Struganje I glodanjePovršinska zaštitaTermička obradaTehničko tehnološka dokumentacijaInženjerski dizajn (tj. primenu zakona fizike i principa inženjerstva u dizajniranju mašina materijala instrumenata struktura procesa i sistema) i konsultantske aktivnosti Izrada i realizacija elaborata u oblasti elektrotehnike rudarstva hemije mašinstva industrije i sigurnosnog sistemaIzrada projekata za klimatizaciju rashlađivanje prečišćavanje i ispitivanje zagađenosti vazduha u oblasti akustike itd.Geofizička geološka i seizmološka merenja,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Direktor,Vladimir Novaković,https://www.linkedin.com/in/vladimir-novakovic,,v.novakovic@novakovicing.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,20-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ALEKSANDAR DEJANOVIĆ PR INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE ADVENMACH LIPAR,ALEKSANDAR DEJANOVIĆ PR INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE ADVENMACH LIPAR,Mire Ratković 46 25232 Lipar Srbobran,65667118,111792278,325-9601500445928-22,Preduzetnik,18.12.2019.,Inženjerske delatnosti i tehničko savetovanje,+381 63 106 46 37,, office@advenmach.rs,Delatnost firme jesu najsavremenije tehnike projektovanja i izrade industrijski alata i proizvodnja linija razliite soženosti.USLUGE:ProjektovanjeMehaničke KomponentePogonska TehnikaIzrada MašinaAutomatikaIndustrijska RobotikaBezbednostInstalacija i puštanje u rad,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Vlasnik,Aleksandar Dejanović,,+381 63 106 4637,aleksandar_10@hotmail.rs,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,27-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
BALKAN ENERGY TEAM DOO BEOGRAD (STARI GRAD),BET DOO BEOGRAD,Majke Jevrosime 8 11000 BEOGRAD,20073225,104046149,160-0053900000827-90,Društvo sa ograničenom odgovornošću,1.8.2005.,Inženjerske delatnosti i tehničko savetovanje,+381 11 324 66 32+381 11 655 79 35,office@bet.rs,,Bave se mašinskim i građevinskim projektovanjem konstruisanjem izvođenjem inženjeringom tehničkom kontolom nadzorom u termoenergetskim postojenjima kako u zemlji tako i u inostranstvu. termoelektraneindustrijski objektiobjekti petrohemije rafinerije nafte cementareprocesna industrija…,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Direktor,Miroslav Lukić,,,lukic@bet.rs,Direktor,Dušan Plešinac,,,,Direktor kvaliteta,,,,,Project manager,,,,filipmatovickg@gmail.com,10-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
CONTINENTAL AUTOMOTIVE SERBIA DOO NOVI SAD,CONTINENTAL AUTOMOTIVE SERBIA DOO,Kaćki put 9/a 21101 Novi Sad,21307424,110153547,840-0000028861763-46,Društvo sa ograničenom odgovornošću,26.7.2017.,Inženjerske delatnosti i tehničko savetovanje,+386 2 450 34 35,, adria@conti.de,Proizvođač pneumatika za putnička vozila (automobili i kombi-vozila) i za komercijalna vozila (kamioni i autobusi).,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Quality Laboratory Specialist,Goran Mišćević,/goran-miscevic,,goran.miscevic@continental-corporation.com,Laboratory specialist- injection molding,Bojan Santovac,,+381 64 879 5107,bojan.santovac@continental-corporation.com,Siniša Milinčić,,,,sinisa.milincic@continental-corporation.com,Quality Control Technician,Jovana Galetin,/jovana-galetin,,jovana.galetin@continental-corporation.com,DODATNI KONTAKTIMenadzer projekta za komponente displeja panela:Mateja MarkovicLinkedInhttps://rs.linkedin.com/in/matejamarkovicTelefonMailmateja.markovic@continental-corporation.comAnalysis and Laboratory Team Leader:Jelena IvankovićLinkedInhttps://www.linkedin.com/in/jelena-jakovljevicTelefonMailjelena.ivankovic@continental-corporation.comSenior Buyer for Production Equipment:Dragana SikmanLinkedInhttps://www.linkedin.com/in/dragana-sikmanTelefonMaildragana.sikman@continental-corporation.com
PREDUZEĆE ZA PROJEKTOVANJE I IZVOĐENJE GEODETSKIH GEOTEHNIČKIH I URBANISTIČKIH RADOVA GEOURB GROUP DOO BEOGRAD (ZVEZDARA),GEOURB GROUP DOO BEOGRAD,VATROSLAVA JAGIĆA 14 11050 BEOGRAD-ZVEZDARA,17513907,103093927,160-6000000066305-81,Društvo sa ograničenom odgovornošću,2.10.2003.,Inženjerske delatnosti i tehničko savetovanje,+381 11 2440 094,, office@geourbgroup.rs,GEOURB Group je multidisciplinarna inženjerska uslužna kompanija specijalizovana za sledeće oblasti:3D lasersko skeniranje i modelovanjeGeodezijaGeotehnikaUrbanizamKATEGORIJE: IZVOĐENJE GRAĐEVINSKIH RADOVA (Geodetska merenja geofizička ispitivanja Projektovanje i izvođenje geodetskih geotehničkih i urbanističkih radova)PROJEKTOVANJE INŽENJERING KONSALTING (Projektovanje Projektovanje i izvođenje geodetskih geotehničkih i urbanističkih radova),INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Generalni direktor,Saša Milenković,/saša-milenković,,sasa.milenkovic@geourbgroup.com,Geodesy Engineer,Miloš Jovanović,/miloš-jovanović,,,Senior Mechanical Design Engineer,Milica Andesilić,/milica-andesilic,,milica.andesilic@gmail.com,Menager,Nenad Kostić,/nenad-kostic,,,24-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ĐORĐE MARKOVIĆ PR INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE MADJOR KRAGUJEVAC,ĐORĐE MARKOVIĆ PR MADJOR,Kralja Milutina 104 34000 KRAGUJEVAC,64919733,110602457,160-0051400202005-54,Preduzetnik,8.3.2018.,Inženjerske delatnosti i tehničko savetovanje,,, office@madjor.net,konstrukcija i izrada mernih naprava (kontrolnika) i preserskih alata primarno za kontrolu kvaliteta delova u autoindustriji.USLUGE:Izrada I dorada mernih napravaIzrada preserskih alati malih konstrukcijaUslužno merenje delova i komponentiKonstrukcija u 3d softweru i povratno inžinjerstvo,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Direktor,Đorđe Marković,,+381 64 20 86 445,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,24-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PARS doo Beograd Agencija za konsalting projektovanje i geodetske poslove,PARS doo Beograd,Put Za Crvenku 56 E 11211 Borča,21360031,110533773,325-9601700066407-95,Društvo sa ograničenom odgovornošću,9.2.2018.,Inženjerske delatnosti i tehničko savetovanje,+381 63 289 335,, geodezijapars@gmail.com,AGENCIJA ZA KONSALTING PROJEKTOVANJE I GEODETSKE POSLOVE. Bave se pružanjem geodetskih usluga koje su vezane za građevinarstvo arhitekturu mašinstvo i geologiju.USLUGE:Geodezija u građevinarstvuGeodezija u arhitekturiGeodezija u mašinstvuGeodezija u katastru,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Vlasnik,Vladan Galinić,,,,Surveying Engineer,Aleksa Purić,https://www.linkedin.com/in/aleksa-puric,,,Chief Engineer of Geodesy,Aleksandar Rančić,https://www.linkedin.com/in/aleksandar-rancic,,,Project manager,,,,,17-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
TEHNIKA K.B. D.O.O. BEOGRAD PREDUZEĆE ZA PROIZVODNJU TRGOVINU I USLUGE,TEHNIKA K.B. D.O.O.,SURČINSKA 85 11070 NOVI BEOGRAD,17063405,100390723,160-6000001569409-08,Društvo sa ograničenom odgovornošću,28.7.1992.,Inženjerske delatnosti i tehničko savetovanje,+381 11 318 77 80,, ,Bave se nemetalima za potrebe industrije: termoplastične kompozitne gumene i izolaciono zaptivne materijale. Ponuda obuhvata ploče štapove cevnice folije trake pletenice ventile cevi fazonske komade pumpe komponente ventilatore upravljačke elemenate itd.PROIZVODI:TERMOPLASTIČNI MATERIJALIOSTALI NEMETALNI MATERIJALIZAPTIVNI I TERMOIZOLACIONI MATERIJALIFLEKSIBILNA CREVAPLATNA MREŽICE I TRANSPORTNE TRAKEPROCESNA OPREMATRETMAN VODACEVOVODI I ARMATUREGALVANSKA POSTROJENJAKOMPOZITNI MATERIJALI - POLIESTERIGRANE INDUSTRIJE: Elektroprivreda – termoelektranePrehrambena industrija – proizvodnja alkoholnih i bezalkoholnih pića hladnjače voća i povrća…Mesna industrijaKonditorska industrijaPetrohemijska industrija – rafinerije proizvodnja granulate azotare..Hemijska industrija–proizvodnja đubriva deterdženata i kućne hemijeCrna metalurgija – železare i obojena metalurgijaObućarska i kožarska industrija,INŽENJERSKE DELATNOSTI I TEHNIČKO SAVETOVANJE,Director,Branko Kukrika,,,,Mechanical Engineer,Lazar Komlenski,https://www.linkedin.com/in/lazar-komlenski,,,Import Export Manager,Jelena Rakočević,https://www.linkedin.com/in/jelena-rakočević,,,Project manager,,,,,04-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU TRGOVINU ISTRAŽIVANJE I EKSPERIMENTALNI RAZVOJ EDEPRO DOO BEOGRAD (VRAČAR),EDEPRO DOO BEOGRAD,Kralja Milutina 33 11000 BEOGRAD,17157132,100302066,170-0030041255320-84,Društvo sa ograničenom odgovornošću,27.12.1996.,Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama,+ 381 11 7871 380,,,Bave se proizvodnjom rešenja pogonskih sistema za rakete na čvrsto gorivo bespilotnih letelica i vođenih raketa sa turbo mlaznim pogonom.PROIZVODI I USLUGE:- rakete- raketni pogon- gasne turbine- rešenja po meri- inženjering- testiranje i kalibracija- transfer tehnologije,ISTRAŽIVANJE I RAZVOJ,Direktor,Branislav Jojić,,,,Project manager,Goran Memon,,+381 60 080 7030+381 62 842 96 33,goran.memon@edepro.comgoranmemon@yahoo.comgmemon1960@gmail.com,Design Engineer,Stefan Stojanović,,,,Aerospace designer/engineer,Nikola Medar,,,,16-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
INSTITUT GOŠA DRUŠTVO SA OGRANIŠENOM ODGOVORNOŠĆU ZA OBAVLJANJE NAUČNOISTRAŽIVAČKIH I RAZVOJNIH POSLOVA BEOGRAD (ZVEZDARA),INSTITUT GOŠA DOO BEOGRAD,MILANA RAKIĆA 35 11050 BEOGRAD-ZVEZDARA,07264534,100034634,160-0000000349892-37,Društvo sa ograničenom odgovornošću,12.4.1990.,Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama,+381 11 2413 332+381 11 24 21 146,, office@institutgosa.rs,USLUGE:Zavod za ispitivanje i kontroluObrazovanje i poslovi u oblasti zavarivanjaObrazovanje i poslovi u oblasti zavarivanja,ISTRAŽIVANJE I RAZVOJ,Direktor,Mirko Ličina,,,direktor@institutgosa.rs,Metrološka laboratorijaRukovodilac laboratorije,Olivera Ilić,,+381 64 838 90 27,olivera.ilic@institutgosa.rs,Sistem menadžmenta kvalitetom Rukovodilac,Marija Krmar,,+381 64 838 90 09,marija.krmar@institutgosa.rs,Researcher,Slavica Ristić,https://www.linkedin.com/in/slavica-ristic,,,10-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ANSAL STEEL DOO BEOGRAD (STARI GRAD),ANSAL STEEL DOO BEOGRAD (STARI GRAD),Kneza Mihaila 9 11102 Beograd (Stari Grad),20424974,105620037,160-0000000455009-33,Društvo sa ograničenom odgovornošću,27.5.2008.,Proizvodnja ostalih mašina i aparata opšte namene,011 322 33 66011 334 90 53,, office@ansalsteel.rs,Sedište firme je u centru Beograda dok je proizvodnja smeštena na tri proizvodne lokacije: Surdulica Vranje i Ljig. Proizvode odlivke za različite namene i različitog hemijskog sastava i mehaničkih osobina:Ugljenični čelični livLegirani čelični livVisokolegirani čelični liv (nerđajući i kiselootporni vatrootporni i otporan na habanje)PROIZVODNI PROGRAM:transportni sistemi (poizvodnja kompletnih transportnih sistema kao i sekcija i rezervnih delova za transportne sisteme (uključujući rolne).- rolne (noseće rolne povratne rolne amortizacione rolne bočne rolne noseće ili povratne rolne)odlivci (odlivci se proizvode za širop spektar industrija: rudarstvo i energetika cementna industrija mašinogradnja građevinska industrija proizvodnja pumpi procesna industrija hemijska industrija itd.)čelične kugle (čelične kugle za mlinove u rudarskoj industriji bakra olova cinka i zlata)brusne i rezne pločereduktori (sa cilindričnim i konusno-cilindričnim zupčanicima; sa pužnim i pužno-cilindrični zupčanicima; planetarni pužno- planetarni i konusno-planetarni)bubnjevi (pogonski zatezni prevojni otkloni povratni)zupčanicivratila i ozubljena vratilarezervni delovi za bagere u rudarstvurezervni delovi drobilica i mlinova u rudarstvu,LIVNICE,Vlasnik,Dragan Lakićević,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,10-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SAMOSTALNA ZANATSKA RADNJA ANTAL LIVNICA ANTAL MIHALJ PREDUZETNIK SUBOTICA,ANTAL LIVNICA,SEGEDINSKI PUT 36/A 24000 Subotica,60889007,105247388,205-0071000593952-58,Preduzetnik,1.11.2007.,Livenje lakih metala,+381 (0)24 546678,, livnica@antal.rs,Livnica se bavi proizvodnjom mašinskih odlivaka za poljoprivredne mašine preko obojenih metala do preciznog liva od čelika.Pored livenja bave se izradom modela modelnih ploča proverom kvaliteta mehaničkim i hemijskim metodama kao i mašinskom obradom odlivaka. Odlivke. obrađuju na željene mere CNC mašinama. Izrađuju i umetnička dela - biste figure spomentable fontane plakete ili mala plastika radimo vostanom tehnologijom Od obojenih metala rade šipke hilzne čaure poklopce za motore ili blokove po datim dimenzijama.,LIVNICE,Zastupnik,Antal Mihalj,https:/www.linkedin.com/in/mihaly-antal-49009319,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,01-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AUTOFLEX-LIVNICA DOO ČOKA,AUTOFLEX-LIVNICA DOO ČOKA,VINOGRADI 26 23320 Čoka,08559279,100738997,205-0000000199618-15,Društvo sa ograničenom odgovornošću,8.10.1993.,Livenje gvožđa,+381 230 / 371-600,, livnica@autoflex.rs,Preduzeće Autoflex-Livnica iz Čoke se bavi proizvodnjom odlivaka od sivog liva. Program proizvodnje čini:1)Mašinsko kalupovanje:a)glavčineb)dobošic)delovi reduktorad)delovi pumpie)hidrantif)zasunig)fazonski komadih)delovi za poljoprivredne mašine2)Ručno kalupovanje:a)kućišta el.motorab)poklopci el.motorac)kućišta ležaja,LIVNICE,Vlasnička struktura,-Dragan Knežev-KNEŽEV GROUP DOO ZA PROIZVODNJU TRGOVINE I USLUGE BEČEJ - KNOTT HOLDING GmbH- AUTOFLEX-HOLDING KFT- TECHNIK-INVEST KFT- Ingolf Bollhorst- Jozef Toth- Matthias Johannes Kauder,,,,Zastupnik,Boris Krstić,https:/www.linkedin.com/in/boris-krstic-96962157,,,Menadžer prodaje i nabavke,Miloš Zeković,https:/www.linkedin.com/in/miloš-zeković-219824b3,,milos.zekovic@autoflex.rs,Menadžer proizvodnje,Zoran Bajić,https:/www.linkedin.com/in/zoran-bajic-751564127,,,01-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
CASTING - TRADE DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU I PROMET NOVI SAD,CASTING - TRADE DOO NOVI SAD,BEOGRADSKI KEJ 17/3 21000 Novi Sad,20211725,104685001,840-0000012274763-46,Društvo sa ograničenom odgovornošću,11.9.2006.,Livenje gvožđa,+381 63 500 355- SEDIŠTE: Beogradski kej 17/3 21000 Novi Sad+381 64 64 34 709 - PROIZVODNI POGON: Branka Radičevića 44 22320 Inđija,, office@castingtrade.com,Bave se proizvodnjom proizvoda od nodularnog liva.Proizvodi:Kućni priključciVazdušni ventiliElementi za spajanjeHidrantiDilatacioni kompenzatoriLeptirasti zatvaračiČelične prirubniceFazonski komadiProizvodi od gumeElementi i zaštita od kompozitnog materijalaUsisne korpeElementi po uzoku ili crtežu i gotova rešenja,LIVNICE,Vlasnik,Nataša Radenović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,13-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
LIVNICA D & M DARKO ĐORIĆ PREDUZETNIK RATINA,D & M,36212 RATINA,55935653,102797932,325-9500600035647-03,Preduzetnik,20.4.2003.,Livenje lakih metala,036/5861-902036/420-494+381 69/ 612 538,livnicadmkraljevo@gmail.com,,Osnovna delatnost livnice je livenje lakih metala i proizvodnja aluminijumskih odlivaka u pesku i čeličnim kokilama. U ponudi livnice nalaze se:Proizvodnja aluminijumskih odlivakaLivenje aluminijum odlivaka u pesku i čeličnim kokilamaLivenje parkovskog programaOdbojni stubićiKlupeRešetke i štitnici za sadnice.Bave se livenjem mlinova za šećer kafu biber žitarice i dr livenjem remenica od fi 50 do fi 800 i delova za pakerice polu automatske i automatske.Pružaju usluge livenja parkovskog programa.,LIVNICE,Vlasnik,Darko Đorić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,01-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
D I P DRUŠTVO SA OGRANIČENOM ODGOD I P DOO NOVI SADVORNOŠĆU ZA PROIZVODNJU I PROMET ODLIVAKA OBOJENIH METALA NOVI SAD,D I P DOO NOVI SAD,Veliki Rit 9A 21000 Novi Sad,08579954,100239404,205-0000000111989-32,Društvo sa ograničenom odgovornošću,25.2.1994.,Livenje lakih metala,+38121547770,, office@dip.rs,Bavi se proizvodnjom raznih legura aliminijuma.Sektori:Metalurgija i obrada metalaMetalurgija i obrada metala - Reciklaža metalaMetalurgija i obrada metala – TopionicaMetalurgija i obrada metala - Proizvodnja plemenitih i ostalih obojenih metala,LIVNICE,Vlasnici,Nataša Kremenović-KulpinacUglješa Kremenović,,,,Kontakt osoba,Ms. JOVANOVIC TEODORA,,,cedora@ptt.yu,Kontakt osoba,Ms. Miroslava Jovanović,,+381 63 541 486,dipliv@eunet.rs,Project manager,,,,,01-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SAMOSTALNA ZANATSKA RADNJA DOBES NENAD MARJANOVIĆ PR ČAČAK,SAMOSTALNA ZANATSKA RADNJA DOBES NENAD MARJANOVIĆ PR ČAČAK,SPOMEN PARK 71/5 32000 Čačak,56344128,103254331,160-6000000258981-76,Preduzetnik,1.4.2004.,Proizvodnja alata,032/333-093063/512-543,, dobes@ptt.rs,Firma se bavi proizvodnjom:Alata za duvanu ambalažuAlata za brizganu plastikuAlata za prosecanje lima,LIVNICE,Vlasnik,Nenad Marjanović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,13-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU USLUGE I TRGOVINU ELDON GRUPA DOO SMEDEREVSKA PALANKA,ELDON GRUPA DOO SMEDEREVSKA PALANKA,PETRA MUNJASA BB 11420 SMEDEREVSKA PALANKA,06496610,101928869,325-9500600030656-38,Društvo sa ograničenom odgovornošću,10.12.1992.,Proizvodnja ostalih tehničkih proizvoda od keramike,+ 381 63 70-777-92,, office@eldon.rs,USLUGE -izrada svih vrsta alata po sopstvenoj konstrukciji ili konstrukciji naručioca -izrada brizganjem predmeta od plastičnih masa u sopstvenim alatima ili alatima poručioca -izrada livenjem predmeta od aluminijumskih legura u kokili i pesku -mašinska i ručna obrada -erodiranje materijalaProizvodni program:-SISTEMI ZA DOJAVU POŽARA ZA SUVE I VLAŽNE PROSTORIJE (ručni javljači požara javljači aktiviranja gašenja javljači blokade gašenja komore ventilacionog kanala) -SIGNALIZACIONI UREĐAJI (sirene sigurnosne barijere paralelni indikatori)-ELEMENTI KLIMA KOMORA (mlaznice ručne brave univerzalna ručka zatezni zavrtanj kapice za zavrtnjeve) -GRLA ZA FLUO CEVI ZA SUVE I VLAŽNE PROSTORIJE -PROGRAM RASVETE (svetiljke za uličnu rasvetu svetiljke za rasvetu hala magacina… ukrasni fenjeri  ugradne svetiljke) -INSTALACIONI PROGRAM (pričvrsne pločice stegice-vezice obujmice-šelne uvodnice kabla redne stezaljke minijaturni osigurački slogovi podne utičnice  razvodne kutije)-REZERVNI DELOVI ELEKTRO MOTORA (priključne ploče-klemberti zupčanici ležajevi podloške ventilator deklovi)-REZERVNI DELOVI SVIH VRSTA PUMPI -REZERVNI DELOVI RUČNOG ELEKTRIČNOG ALATA (ventilator nosači četkica kućišta),LIVNICE,Direktor, Veljko Tatalović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,14-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
